query,category,configuration,num_runs,use_gpt,use_id_matching,total_min,total_max,total_avg,total_median,total_std,gpt_refinement_min,gpt_refinement_max,gpt_refinement_avg,id_matching_min,id_matching_max,id_matching_avg,query_embedding_min,query_embedding_max,query_embedding_avg,semantic_search_min,semantic_search_max,semantic_search_avg
I want to learn machine learning and neural networks,semantic-only,full_system,1,True,True,3.3257391452789307,3.3257391452789307,3.3257391452789307,3.3257391452789307,0.0,2.296727180480957,2.296727180480957,2.296727180480957,0.0,0.0,0.0,0.9997398853302002,0.9997398853302002,0.9997398853302002,0.02866840362548828,0.02866840362548828,0.02866840362548828
I want to learn machine learning and neural networks,semantic-only,full_system,5,True,True,1.3139915466308594,2.0640087127685547,1.6661524295806884,1.6152074337005615,0.2819710021828985,1.248626708984375,2.0360357761383057,1.614902639389038,0.0,0.0,0.0,2.1457672119140625e-05,0.008364200592041016,0.005879735946655274,0.027623414993286133,0.05658578872680664,0.04496893882751465
I want to learn machine learning and neural networks,semantic-only,full_system,10,True,True,1.3925485610961914,2.3765385150909424,1.8832754850387574,1.8722888231277466,0.39132516772310216,1.3281066417694092,2.2956461906433105,1.8233670949935914,0.0,0.0,0.0,3.075599670410156e-05,0.012822628021240234,0.005813002586364746,0.04599428176879883,0.06777572631835938,0.05367758274078369
Courses about data structures and algorithms,semantic-only,full_system,1,True,True,1.624361276626587,1.624361276626587,1.624361276626587,1.624361276626587,0.0,1.5585780143737793,1.5585780143737793,1.5585780143737793,0.0,0.0,0.0,0.008248329162597656,0.008248329162597656,0.008248329162597656,0.05710768699645996,0.05710768699645996,0.05710768699645996
Courses about data structures and algorithms,semantic-only,full_system,5,True,True,1.3614795207977295,2.53707218170166,1.8932578563690186,1.8683216571807861,0.5405597382423646,1.3009710311889648,2.4722611904144287,1.830486822128296,0.0,0.0,0.0,0.006667613983154297,0.008281230926513672,0.007803487777709961,0.046050310134887695,0.05680084228515625,0.054535865783691406
Courses about data structures and algorithms,semantic-only,full_system,10,True,True,1.0520856380462646,2.265700578689575,1.6320976495742798,1.6560765504837036,0.37878833093326675,0.9939196109771729,2.2004234790802,1.5706918478012084,0.0,0.0,0.0,3.314018249511719e-05,0.008337020874023438,0.005569028854370117,0.04056596755981445,0.058025360107421875,0.05540199279785156
I'm interested in computer vision and image processing,semantic-only,full_system,1,True,True,3.313225030899048,3.313225030899048,3.313225030899048,3.313225030899048,0.0,3.2617640495300293,3.2617640495300293,3.2617640495300293,0.0,0.0,0.0,0.006335020065307617,0.006335020065307617,0.006335020065307617,0.04470682144165039,0.04470682144165039,0.04470682144165039
I'm interested in computer vision and image processing,semantic-only,full_system,5,True,True,1.2875595092773438,1.9296209812164307,1.645545482635498,1.614302158355713,0.25035812561112514,1.222137451171875,1.8763113021850586,1.5825434684753419,0.0,0.0,0.0,0.00681757926940918,0.008398294448852539,0.008002996444702148,0.04607892036437988,0.05714559555053711,0.05456991195678711
I'm interested in computer vision and image processing,semantic-only,full_system,10,True,True,1.4555747509002686,2.8932461738586426,1.885595965385437,1.8099870681762695,0.4221720704157036,1.3896722793579102,2.83980655670166,1.825553297996521,0.0,0.0,0.0,3.5762786865234375e-05,0.009037256240844727,0.00696268081665039,0.046053171157836914,0.0581209659576416,0.052649426460266116
Optimization and operations research courses,semantic-only,full_system,1,True,True,1.7361955642700195,1.7361955642700195,1.7361955642700195,1.7361955642700195,0.0,1.6700520515441895,1.6700520515441895,1.6700520515441895,0.0,0.0,0.0,0.008472442626953125,0.008472442626953125,0.008472442626953125,0.057235002517700195,0.057235002517700195,0.057235002517700195
